user_id,phone_id,visit_time
1,13,"2024-05-29 15:40:34"
1,3,"2024-05-29 15:40:34"
1,8,"2024-05-29 15:40:34"
1,1,"2024-05-29 15:40:34"
1,5,"2024-05-29 15:40:34"
1,9,"2024-05-29 15:40:34"
1,14,"2024-05-29 15:40:34"
1,10,"2024-05-29 15:40:34"
1,6,"2024-05-29 15:40:34"
1,20,"2024-05-29 15:40:34"
2,15,"2024-05-29 15:40:34"
2,2,"2024-05-29 15:40:34"
2,4,"2024-05-29 15:40:34"
2,12,"2024-05-29 15:40:34"
2,6,"2024-05-29 15:40:34"
2,3,"2024-05-29 15:40:34"
2,9,"2024-05-29 15:40:34"
2,5,"2024-05-29 15:40:34"
2,47,"2024-05-29 15:40:34"
2,45,"2024-05-29 15:40:34"
3,4,"2024-05-29 15:40:34"
3,9,"2024-05-29 15:40:34"
3,12,"2024-05-29 15:40:34"
3,2,"2024-05-29 15:40:34"
3,11,"2024-05-29 15:40:34"
3,13,"2024-05-29 15:40:34"
3,8,"2024-05-29 15:40:34"
3,15,"2024-05-29 15:40:34"
3,57,"2024-05-29 15:40:34"
3,25,"2024-05-29 15:40:34"
4,5,"2024-05-29 15:40:34"
4,10,"2024-05-29 15:40:34"
4,7,"2024-05-29 15:40:34"
4,11,"2024-05-29 15:40:34"
4,8,"2024-05-29 15:40:34"
4,2,"2024-05-29 15:40:34"
4,4,"2024-05-29 15:40:34"
4,60,"2024-05-29 15:40:34"
4,52,"2024-05-29 15:40:34"
4,44,"2024-05-29 15:40:34"
5,13,"2024-05-29 15:40:35"
5,12,"2024-05-29 15:40:35"
5,3,"2024-05-29 15:40:35"
5,5,"2024-05-29 15:40:35"
5,10,"2024-05-29 15:40:35"
5,58,"2024-05-29 15:40:35"
5,20,"2024-05-29 15:40:35"
5,40,"2024-05-29 15:40:35"
5,16,"2024-05-29 15:40:35"
5,33,"2024-05-29 15:40:35"
6,13,"2024-05-29 15:40:35"
6,15,"2024-05-29 15:40:35"
6,3,"2024-05-29 15:40:35"
6,6,"2024-05-29 15:40:35"
6,9,"2024-05-29 15:40:35"
6,7,"2024-05-29 15:40:35"
6,1,"2024-05-29 15:40:35"
6,26,"2024-05-29 15:40:35"
6,50,"2024-05-29 15:40:35"
6,55,"2024-05-29 15:40:35"
7,8,"2024-05-29 15:40:35"
7,1,"2024-05-29 15:40:35"
7,7,"2024-05-29 15:40:35"
7,6,"2024-05-29 15:40:35"
7,13,"2024-05-29 15:40:35"
7,4,"2024-05-29 15:40:35"
7,2,"2024-05-29 15:40:35"
7,5,"2024-05-29 15:40:35"
7,43,"2024-05-29 15:40:35"
7,65,"2024-05-29 15:40:35"
8,9,"2024-05-29 15:40:35"
8,10,"2024-05-29 15:40:35"
8,4,"2024-05-29 15:40:35"
8,14,"2024-05-29 15:40:35"
8,8,"2024-05-29 15:40:35"
8,12,"2024-05-29 15:40:35"
8,13,"2024-05-29 15:40:35"
8,15,"2024-05-29 15:40:35"
8,19,"2024-05-29 15:40:35"
8,63,"2024-05-29 15:40:35"
9,4,"2024-05-29 15:40:35"
9,10,"2024-05-29 15:40:35"
9,15,"2024-05-29 15:40:35"
9,6,"2024-05-29 15:40:35"
9,14,"2024-05-29 15:40:35"
9,13,"2024-05-29 15:40:35"
9,5,"2024-05-29 15:40:35"
9,25,"2024-05-29 15:40:35"
9,16,"2024-05-29 15:40:35"
9,18,"2024-05-29 15:40:35"
10,4,"2024-05-29 15:40:35"
10,2,"2024-05-29 15:40:35"
10,15,"2024-05-29 15:40:35"
10,13,"2024-05-29 15:40:35"
10,6,"2024-05-29 15:40:35"
10,10,"2024-05-29 15:40:35"
10,8,"2024-05-29 15:40:35"
10,1,"2024-05-29 15:40:35"
10,7,"2024-05-29 15:40:35"
10,35,"2024-05-29 15:40:35"
11,1,"2024-05-29 15:40:35"
11,11,"2024-05-29 15:40:35"
11,14,"2024-05-29 15:40:35"
11,15,"2024-05-29 15:40:35"
11,9,"2024-05-29 15:40:35"
11,7,"2024-05-29 15:40:35"
11,6,"2024-05-29 15:40:35"
11,10,"2024-05-29 15:40:35"
11,56,"2024-05-29 15:40:35"
11,24,"2024-05-29 15:40:35"
12,8,"2024-05-29 15:40:35"
12,12,"2024-05-29 15:40:35"
12,7,"2024-05-29 15:40:35"
12,4,"2024-05-29 15:40:35"
12,6,"2024-05-29 15:40:35"
12,10,"2024-05-29 15:40:35"
12,15,"2024-05-29 15:40:35"
12,3,"2024-05-29 15:40:35"
12,11,"2024-05-29 15:40:35"
12,9,"2024-05-29 15:40:35"
13,13,"2024-05-29 15:40:35"
13,3,"2024-05-29 15:40:35"
13,10,"2024-05-29 15:40:35"
13,9,"2024-05-29 15:40:35"
13,12,"2024-05-29 15:40:35"
13,2,"2024-05-29 15:40:35"
13,8,"2024-05-29 15:40:35"
13,11,"2024-05-29 15:40:35"
13,15,"2024-05-29 15:40:35"
13,6,"2024-05-29 15:40:35"
14,4,"2024-05-29 15:40:35"
14,12,"2024-05-29 15:40:35"
14,1,"2024-05-29 15:40:35"
14,7,"2024-05-29 15:40:35"
14,2,"2024-05-29 15:40:35"
14,11,"2024-05-29 15:40:35"
14,3,"2024-05-29 15:40:36"
14,15,"2024-05-29 15:40:36"
14,71,"2024-05-29 15:40:36"
14,36,"2024-05-29 15:40:36"
15,4,"2024-05-29 15:40:36"
15,7,"2024-05-29 15:40:36"
15,6,"2024-05-29 15:40:36"
15,8,"2024-05-29 15:40:36"
15,10,"2024-05-29 15:40:36"
15,88,"2024-05-29 15:40:36"
15,33,"2024-05-29 15:40:36"
15,29,"2024-05-29 15:40:36"
15,34,"2024-05-29 15:40:36"
15,70,"2024-05-29 15:40:36"
16,12,"2024-05-29 15:40:36"
